alpha,condition_number,rho,trial,lambda,pinv_error,tikhonov_error,pinv_amplification,tikhonov_amplification
4,10000,0.0001,14,1e-06,0.047269039034424254,0.49193490073943386,472.69039034424253,4919.3490073943385
4,10000,0.0001,15,1e-06,0.052166544412501785,0.4666335908767117,521.6654441250179,4666.335908767117
4,10000,0.0001,16,1e-06,0.06270790327261061,0.49466764460038254,627.0790327261061,4946.676446003825
4,10000,0.0001,17,1e-06,0.05763942126593779,0.4239026849793274,576.3942126593779,4239.026849793275
4,10000,0.0001,18,1e-06,0.05720148942990254,0.4552435644921734,572.0148942990254,4552.435644921734
4,10000,0.0001,19,1e-06,0.052989092116530565,0.39326217857840806,529.8909211653056,3932.62178578408
4,10000,0.001,0,1e-06,0.4395761423149964,0.44148998425011277,439.5761423149964,441.48998425011274
4,10000,0.001,1,1e-06,0.3506114059649314,0.41478523354909397,350.6114059649314,414.78523354909396
4,10000,0.001,2,1e-06,0.4299393966555851,0.4805968614519927,429.9393966555851,480.5968614519927
4,10000,0.001,3,1e-06,0.5384095429797445,0.44090500463737586,538.4095429797445,440.90500463737584
4,10000,0.001,4,1e-06,0.6117651055122291,0.4323043549515712,611.765105512229,432.3043549515711
4,10000,0.001,5,1e-06,0.7939129181862962,0.4073112482804671,793.9129181862961,407.3112482804671
4,10000,0.001,6,1e-06,0.5271062096854414,0.42349062100796203,527.1062096854415,423.4906210079621
4,10000,0.001,7,1e-06,0.4755747557656898,0.395896960431562,475.5747557656898,395.896960431562
4,10000,0.001,8,1e-06,0.4650350883738589,0.44103940599132996,465.03508837385885,441.03940599132994
4,10000,0.001,9,1e-06,0.545341014166044,0.44364817276010354,545.3410141660439,443.64817276010353
4,10000,0.001,10,1e-06,0.4438880146036861,0.48316941363365024,443.8880146036861,483.1694136336502
4,10000,0.001,11,1e-06,0.6713157651992335,0.4400230184757065,671.3157651992335,440.0230184757065
4,10000,0.001,12,1e-06,0.5766381632313675,0.39546910587058814,576.6381632313675,395.4691058705881
4,10000,0.001,13,1e-06,0.5885099633534543,0.41764405863777054,588.5099633534543,417.6440586377705
4,10000,0.001,14,1e-06,0.43772236974511886,0.46466502903810686,437.72236974511884,464.66502903810687
4,10000,0.001,15,1e-06,0.5681554627527766,0.4844495804128508,568.1554627527764,484.4495804128507
4,10000,0.001,16,1e-06,0.5942917341350741,0.4581744120817515,594.2917341350741,458.17441208175154
4,10000,0.001,17,1e-06,0.44493918471403504,0.3910703866483833,444.93918471403504,391.07038664838325
4,10000,0.001,18,1e-06,0.5488917590784071,0.5402901163394416,548.8917590784072,540.2901163394415
4,10000,0.001,19,1e-06,0.5823857659274968,0.39329955957324897,582.3857659274968,393.299559573249
4,10000,0.01,0,1e-06,4.964303973952561,0.6560103267214317,496.43039739525614,65.60103267214316
4,10000,0.01,1,1e-06,4.106159765780788,0.6616770980238816,410.6159765780788,66.16770980238816
4,10000,0.01,2,1e-06,4.715727579498351,0.6506110457810225,471.5727579498351,65.06110457810225
4,10000,0.01,3,1e-06,6.4873581143626895,0.7758919006475103,648.7358114362689,77.58919006475104
4,10000,0.01,4,1e-06,8.286091008433594,0.878927825836842,828.6091008433594,87.8927825836842
4,10000,0.01,5,1e-06,6.358897837790478,0.8844702811081936,635.8897837790477,88.44702811081935
4,10000,0.01,6,1e-06,7.535557823497658,0.7925381313481357,753.5557823497658,79.25381313481357
4,10000,0.01,7,1e-06,4.7379048079978245,0.7016731166263999,473.7904807997825,70.16731166263999
4,10000,0.01,8,1e-06,6.721178765957765,0.718600377673076,672.1178765957766,71.86003776730762
4,10000,0.01,9,1e-06,3.7117081967084924,0.6557063505386801,371.17081967084926,65.570635053868
4,10000,0.01,10,1e-06,6.198309040629466,0.842745283293248,619.8309040629466,84.27452832932481
4,10000,0.01,11,1e-06,4.697000828768792,0.6901544569471535,469.7000828768792,69.01544569471535
4,10000,0.01,12,1e-06,4.2979715829907645,0.5924363011814829,429.79715829907644,59.243630118148296
4,10000,0.01,13,1e-06,4.375598668161771,0.6532378678267377,437.55986681617713,65.32378678267376
4,10000,0.01,14,1e-06,5.225520054677545,0.7368988050605879,522.5520054677545,73.68988050605878
4,10000,0.01,15,1e-06,5.237500702547474,0.5909322957649868,523.7500702547474,59.093229576498686
4,10000,0.01,16,1e-06,6.925847597316898,0.720678601179363,692.5847597316897,72.06786011793629
4,10000,0.01,17,1e-06,5.588851728107626,0.6278874637306908,558.8851728107626,62.78874637306908
4,10000,0.01,18,1e-06,5.800421360570242,0.7469617305678811,580.0421360570244,74.69617305678813
4,10000,0.01,19,1e-06,6.166471689741118,0.6232413334786531,616.6471689741117,62.32413334786529
6,1000000,0.0001,0,1e-06,3.3365722252952947,0.6882467176125577,33365.72225295294,6882.467176125575
6,1000000,0.0001,1,1e-06,4.099538539751643,0.6991766498764277,40995.38539751643,6991.766498764277
6,1000000,0.0001,2,1e-06,4.5776130219438524,0.6768954106693953,45776.13021943852,6768.954106693953
6,1000000,0.0001,3,1e-06,3.971536551875445,0.7138240996661928,39715.36551875445,7138.240996661927
6,1000000,0.0001,4,1e-06,3.8191334932370586,0.7126525436029839,38191.334932370584,7126.525436029839
6,1000000,0.0001,5,1e-06,3.511372758355768,0.7070590120275697,35113.72758355768,7070.590120275697
6,1000000,0.0001,6,1e-06,3.5929406599695435,0.6474008914651137,35929.40659969543,6474.0089146511355
6,1000000,0.0001,7,1e-06,3.4403542404642913,0.7025385906751684,34403.54240464291,7025.385906751684
6,1000000,0.0001,8,1e-06,5.174727328337843,0.6977611696058802,51747.273283378425,6977.6116960588015
6,1000000,0.0001,9,1e-06,3.3361850113523426,0.6708807724259713,33361.85011352342,6708.807724259712
6,1000000,0.0001,10,1e-06,3.801280943556465,0.6826281288183434,38012.80943556465,6826.281288183435
6,1000000,0.0001,11,1e-06,3.160741960842136,0.6536190873893866,31607.419608421358,6536.1908738938655
6,1000000,0.0001,12,1e-06,4.546827446447514,0.7226015876250484,45468.27446447514,7226.015876250484
6,1000000,0.0001,13,1e-06,2.8580802819119127,0.6911957404348233,28580.802819119126,6911.9574043482335
6,1000000,0.0001,14,1e-06,4.655358727338965,0.6803317897682318,46553.58727338965,6803.317897682318
6,1000000,0.0001,15,1e-06,3.2949423084867675,0.6478738706624525,32949.423084867674,6478.738706624525
6,1000000,0.0001,16,1e-06,4.3223817644472105,0.6503684125822464,43223.8176444721,6503.684125822464
6,1000000,0.0001,17,1e-06,4.4000653155704335,0.618570302917633,44000.65315570434,6185.703029176331
6,1000000,0.0001,18,1e-06,3.570087376954382,0.6786914339347694,35700.87376954382,6786.914339347693
6,1000000,0.0001,19,1e-06,3.0781815867528537,0.6772487637705754,30781.815867528534,6772.4876377057535
6,1000000,0.001,0,1e-06,26.810615691533908,0.6886137136124426,26810.61569153391,688.6137136124426
6,1000000,0.001,1,1e-06,40.438927650757236,0.6639369533879238,40438.927650757236,663.9369533879238
6,1000000,0.001,2,1e-06,50.41154549054107,0.6850236526717508,50411.54549054107,685.0236526717508
6,1000000,0.001,3,1e-06,43.559306570224905,0.6691727891450254,43559.3065702249,669.1727891450254
6,1000000,0.001,4,1e-06,31.538923932063742,0.7079866898194349,31538.923932063743,707.9866898194349
6,1000000,0.001,5,1e-06,40.81845191698302,0.650819417064746,40818.451916983024,650.819417064746
6,1000000,0.001,6,1e-06,48.44593165155578,0.6530537513464156,48445.93165155578,653.0537513464157
6,1000000,0.001,7,1e-06,30.992556257486925,0.6879026955004112,30992.556257486925,687.9026955004111
6,1000000,0.001,8,1e-06,43.27756558755529,0.7343422261988711,43277.5655875553,734.3422261988712
6,1000000,0.001,9,1e-06,60.93754158214986,0.6653557435004358,60937.54158214986,665.3557435004358
6,1000000,0.001,10,1e-06,33.858348152365366,0.6554451042008239,33858.34815236536,655.4451042008237
6,1000000,0.001,11,1e-06,46.52897933465006,0.7070446275226702,46528.97933465006,707.0446275226701
6,1000000,0.001,12,1e-06,26.03682107145094,0.6886241335462188,26036.82107145094,688.6241335462188
6,1000000,0.001,13,1e-06,32.89268304686105,0.6452456417022211,32892.68304686105,645.2456417022211
6,1000000,0.001,14,1e-06,44.435016050006304,0.6684817289489466,44435.01605000631,668.4817289489466
6,1000000,0.001,15,1e-06,31.711320460735237,0.6817583507049734,31711.320460735238,681.7583507049734
6,1000000,0.001,16,1e-06,47.98561295031267,0.6577574967622624,47985.61295031267,657.7574967622623
6,1000000,0.001,17,1e-06,36.8308449761738,0.7024939818619672,36830.8449761738,702.4939818619672
6,1000000,0.001,18,1e-06,31.849600590842826,0.6423915989591189,31849.600590842827,642.3915989591189
6,1000000,0.001,19,1e-06,32.39850698845535,0.6751746094904619,32398.506988455352,675.1746094904619
6,1000000,0.01,0,1e-06,320.338904430705,0.7963137790718199,32033.890443070497,79.63137790718199
6,1000000,0.01,1,1e-06,457.0841741899441,0.7512083227157494,45708.41741899441,75.12083227157494
6,1000000,0.01,2,1e-06,348.51450611488673,0.7625303876889362,34851.450611488675,76.25303876889362
6,1000000,0.01,3,1e-06,447.9556583471129,0.8112275488907185,44795.56583471129,81.12275488907184
6,1000000,0.01,4,1e-06,368.74673032102555,0.8365126473372583,36874.67303210255,83.65126473372582
6,1000000,0.01,5,1e-06,319.57168336777977,0.7540198766208119,31957.168336777977,75.4019876620812
6,1000000,0.01,6,1e-06,423.34169725155584,0.7903787830156485,42334.16972515558,79.03787830156485
6,1000000,0.01,7,1e-06,279.5703912968382,0.7631469402662219,27957.039129683817,76.31469402662219
6,1000000,0.01,8,1e-06,502.40308151293164,0.7913960044386644,50240.30815129316,79.13960044386644
6,1000000,0.01,9,1e-06,352.07891421283364,0.782781250004272,35207.89142128336,78.2781250004272
6,1000000,0.01,10,1e-06,505.6579336280758,0.774667976410715,50565.79336280758,77.46679764107151
6,1000000,0.01,11,1e-06,412.64362949614497,0.8366882399468122,41264.36294961449,83.66882399468122
6,1000000,0.01,12,1e-06,383.012836866643,0.7928209371791541,38301.283686664305,79.28209371791543
6,1000000,0.01,13,1e-06,466.4105485775869,0.7551594603191929,46641.05485775869,75.51594603191928
6,1000000,0.01,14,1e-06,401.5520444967946,0.7257681870606367,40155.20444967946,72.57681870606368
6,1000000,0.01,15,1e-06,343.38795977725067,0.7719710939722111,34338.79597772507,77.19710939722113
6,1000000,0.01,16,1e-06,349.38331876759065,0.7840884519775942,34938.33187675906,78.4088451977594
6,1000000,0.01,17,1e-06,463.5144723287539,0.7894441699270113,46351.44723287539,78.94441699270112
